Compute Workflow	PSE	Assay	Protocol	Date Scheduled	Work Order	Sample Full Name	# of Inputs	# of Instrument Data	Status	Executions
197888	165012912	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:41	2855725	H_VF-Kardio_103095-103095	11	11	ready	1
197889	165014874	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:49	2855725	H_VF-Kardio_103380-103380	11	11	ready	1
197894	165016903	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:57	2855725	H_VF-Kardio_103340-103340	11	11	ready	1
197895	165016905	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:57	2855725	H_VF-Kardio_103430-103381	9	11	ready	1
197917	165037055	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 13:14	2855725	H_VF-Kardio_143110-143110	11	11	ready	1
200470	165274817	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:16	2855725	H_VF-Kardio_103015-103015	16	16	ready	1
200472	165274995	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:20	2855725	H_VF-Kardio_104062-104062	16	16	ready	1
200473	165275000	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:20	2855725	H_VF-Kardio_103219-103219	16	16	ready	1
200474	165275002	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:20	2855725	H_VF-Kardio_102935-102935	16	16	ready	1
200475	165275052	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:22	2855725	H_VF-Kardio_103381-103381	16	16	ready	1
200476	165275126	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:24	2855725	H_VF-Kardio_103065-103065	16	16	ready	1
200477	165275134	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:24	2855725	H_VF-Kardio_102937-102937	16	16	ready	1
200479	165275209	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:26	2855725	H_VF-Kardio_103410-103383	16	16	ready	1
200480	165275272	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:28	2855725	H_VF-Kardio_104129-104129	16	16	active	0
200483	165275348	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:30	2855725	H_VF-Kardio_160601-160600	16	16	ready	1
200484	165275349	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:30	2855725	H_VF-Kardio_104026-104026	16	16	ready	1
200485	165275675	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:33	2855725	H_VF-Kardio_160015-160001	16	16	ready	1
200487	165275677	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:33	2855725	H_VF-Kardio_161400-161400	16	16	ready	1
200488	165275679	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:33	2855725	H_VF-Kardio_102849-102849	16	16	ready	1
