Compute Workflow	PSE	Assay	Protocol	Date Scheduled	Work Order	Sample Full Name	# of Inputs	# of Instrument Data	Status	Executions
211492	165595357	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2348-2348	16	16	ready	1
211493	165595362	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2300-2300	16	16	ready	1
211494	165595390	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2870-2870	16	16	ready	1
211495	165595392	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-3160-3160	16	16	ready	1
211496	165595397	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2521-2521	16	16	ready	1
211497	165595406	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2433-2433	16	16	ready	1
211498	165595408	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2298-2298	16	16	ready	1
211499	165595422	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2294-2294	16	16	ready	1
211500	165595436	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2373-2373	16	16	ready	1
211501	165595440	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2320-2320	16	16	ready	1
211502	165595455	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2427-2427	16	16	ready	1
211503	165595487	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:17	2855780	H_WX-2297-2297	16	16	ready	1
211504	165595528	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:18	2855780	H_WX-2541-2541	16	16	ready	1
211505	165595530	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:18	2855780	H_WX-2610-2610	16	16	ready	1
211506	165595532	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:18	2855780	H_WX-2296-2296	16	16	active	0
211517	165595847	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:18	2855780	H_WX-2740-2740	16	16	ready	1
211518	165595851	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:18	2855780	H_WX-2533-2533	16	16	ready	1
211519	165595858	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:18	2855780	H_WX-3330-3330	16	16	ready	1
211520	165595859	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:18	2855780	H_WX-3114-3114	16	16	ready	1
211521	165595872	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2852-2852	16	16	ready	1
211522	165595875	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2532-2532	16	16	ready	1
211523	165595876	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-3303-3303	16	16	ready	1
211524	165595881	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2896-2896	16	16	ready	1
211525	165595886	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2772-2772	16	16	ready	1
211526	165595892	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2590-2590	16	16	active	0
211527	165595901	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2919-2919	16	16	ready	1
211528	165595906	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2900-2900	16	16	ready	1
211529	165595910	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2402-2402	16	16	ready	1
211530	165595916	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2623-2623	16	16	ready	1
211531	165595942	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-3298-3298	16	16	ready	1
211533	165595990	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-3329-3329	16	16	ready	1
211534	165596069	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-3087-3087	16	16	ready	1
211535	165596070	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-3141-3141	16	16	ready	1
211536	165596080	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2821-2821	16	16	ready	1
211537	165596084	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2203-2203	16	16	ready	1
211538	165596088	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-2990-2990	16	16	ready	1
211539	165596128	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:19	2855780	H_WX-3159-3159	16	16	ready	1
211540	165596216	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:20	2855780	H_WX-3021-3021	16	16	ready	1
211542	165596434	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2404-2404	16	16	ready	1
211543	165596443	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2403-2403	16	16	ready	1
211544	165596458	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2337-2337	16	16	ready	1
211545	165596459	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2344-2344	16	16	ready	1
211546	165596464	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2410-2410	16	16	ready	1
211547	165596465	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2394-2394	16	16	ready	1
211548	165596468	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2386-2386	16	16	ready	1
211549	165596469	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2362-2362	16	16	ready	1
211550	165596522	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2375-2375	16	16	ready	1
211551	165596523	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2425-2425	16	16	ready	1
211552	165596527	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2443-2443	16	16	ready	1
211553	165596531	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2409-2409	16	16	ready	1
211554	165596533	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2396-2396	16	16	ready	1
211555	165596538	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2455-2455	16	16	ready	1
211556	165596544	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2369-2369	16	16	ready	1
211557	165596543	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2435-2435	16	16	ready	1
211558	165596548	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2460-2460	16	16	ready	1
211559	165596553	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2398-2398	16	16	ready	1
211560	165596554	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2436-2436	16	16	ready	1
211561	165596556	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2382-2382	16	16	ready	1
211562	165596557	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2383-2383	16	16	ready	1
211563	165596560	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2431-2431	16	16	ready	1
211564	165596561	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2339-2339	16	16	ready	1
211565	165596565	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2389-2389	16	16	ready	1
211566	165596567	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2379-2379	16	16	ready	1
211567	165596571	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2419-2419	16	16	ready	1
211568	165596574	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2395-2395	16	16	ready	1
211569	165596576	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2445-2445	16	16	ready	1
211570	165596577	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2459-2459	16	16	ready	1
211571	165596580	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2524-2524	16	16	ready	1
211572	165596582	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2485-2485	16	16	ready	1
211573	165596583	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2424-2424	16	16	ready	1
211574	165596584	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2345-2345	16	16	ready	1
211575	165596590	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2453-2453	16	16	ready	1
211576	165596585	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/27/18 10:21	2855780	H_WX-2440-2440	16	16	ready	1
