Compute Workflow	PSE	Assay	Protocol	Date Scheduled	Work Order	Sample Full Name	# of Inputs	# of Instrument Data	Status	Executions
204692	165400727	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:08	2855729	H_WX-1862-1862	16	16	ready	1
204703	165401372	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:34	2855729	H_WX-1805-1805	16	16	ready	1
204704	165401373	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:34	2855729	H_WX-1819-1819	16	16	ready	1
204705	165401374	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:34	2855729	H_WX-1834-1834	16	16	ready	1
204706	165401375	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:34	2855729	H_WX-1815-1815	16	16	ready	1
204710	165401584	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:36	2855729	H_WX-1960-1960	16	16	ready	1
204711	165401586	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:36	2855729	H_WX-1817-1817	16	16	ready	1
204714	165401600	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:38	2855729	H_WX-1796-1796	16	16	ready	1
204715	165401601	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:38	2855729	H_WX-1818-1818	16	16	ready	1
204716	165401630	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:41	2855729	H_WX-1841-1841	16	16	ready	1
204720	165401647	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:41	2855729	H_WX-1828-1828	16	16	ready	1
204721	165401648	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:41	2855729	H_WX-1825-1825	16	16	ready	1
204722	165401719	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:44	2855729	H_WX-1876-1876	16	16	ready	1
204723	165401723	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:44	2855729	H_WX-1822-1822	16	16	ready	1
204724	165401726	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:44	2855729	H_WX-1816-1816	16	16	ready	1
204726	165401779	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:46	2855729	H_WX-1926-1926	16	16	ready	1
204727	165401799	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:48	2855729	H_WX-1838-1838	16	16	ready	1
204728	165401806	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:48	2855729	H_WX-1790-1790	16	16	ready	1
204730	165401831	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:50	2855729	H_WX-1827-1827	16	16	ready	1
204732	165401853	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:52	2855729	H_WX-1829-1829	16	16	ready	1
204735	165401890	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:54	2855729	H_WX-1806-1806	16	16	ready	1
