Compute Workflow	PSE	Assay	Protocol	Date Scheduled	Work Order	Sample Full Name	# of Inputs	# of Instrument Data	Status	Executions
197886	165012879	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:41	2855516	2894050911	11	11	ready	1
197887	165012911	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:41	2855516	2894053900	11	11	ready	1
197891	165014887	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:49	2855516	2894050225	11	11	ready	1
197892	165014906	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:49	2855516	2893849479	11	11	ready	1
197893	165016886	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 11:57	2855516	2893898876	11	11	ready	1
197897	165018755	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 12:05	2855516	2893900752	9	11	ready	1
197916	165037039	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 13:14	2855516	2894049928	11	11	ready	1
197918	165037085	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/5/18 13:14	2855516	2893850275	11	11	ready	1
200481	165275281	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:28	2855516	2893856046	16	16	ready	1
200492	165275688	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:33	2855516	2893897861	15	16	active	0
200493	165275781	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:35	2855516	2893851346	16	16	ready	1
200494	165275812	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:36	2855516	2893849229	16	16	ready	1
200497	165275838	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:38	2855516	2893845102	16	16	ready	1
200498	165275849	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:38	2855516	2893900527	16	16	ready	1
200500	165275909	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:40	2855516	2893896785	16	16	ready	1
200502	165275959	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:42	2855516	2893854378	16	16	ready	1
200505	165276052	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:44	2855516	2893897913	16	16	ready	1
200506	165276057	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:44	2855516	2893896525	16	16	ready	1
200508	165276087	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:46	2855516	2893848486	16	16	ready	1
200511	165276195	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:48	2855516	2893896387	16	16	ready	1
200512	165276228	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:50	2855516	2893896727	16	16	ready	1
200513	165276231	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:50	2855516	2893896798	16	16	ready	1
200514	165276232	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:50	2855516	2894050112	16	16	ready	1
200516	165276244	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:50	2855516	2893850249	16	16	ready	1
200517	165276256	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:50	2855516	2893851412	16	16	ready	1
200519	165276283	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:52	2855516	2894050155	16	16	ready	1
200521	165276288	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:52	2855516	2893852602	16	16	ready	1
200522	165276289	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:52	2855516	2893849263	16	16	ready	1
200523	165276332	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:54	2855516	2894052371	16	16	ready	1
200528	165276486	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:56	2855516	2894049822	16	16	ready	1
200529	165276552	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:58	2855516	2893852454	16	16	ready	1
200532	165276613	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 12:00	2855516	2893850279	16	16	ready	1
200533	165276622	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 12:01	2855516	2893852365	16	16	ready	1
200536	165276908	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 12:08	2855516	2893850327	16	16	ready	1
